"Year","NYCHA Development","Borough","Total number of resident job placements","Average wage of such residents","Total number of resident connections to services","Total number of residents that applied for the NYCHA Resident Training Academy","Total number of residents that were accepted and enrolled","Total number residents placed into full-time or part-time jobs","Average Wage of such residents","Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program","Total number of residents enrolled in vocational training programs through the program","Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program"
"2019","WEST BRIGHTON II","Staten Island","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WEST BRIGHTON I","Staten Island","<5","15","90","5","N/A","N/A","N/A","N/A","11","N/A"
"2019","TODT HILL","Staten Island","N/A","N/A","32","<5","N/A","N/A","N/A","N/A","7","N/A"
"2019","STAPLETON","Staten Island","5","27.95","137","6","<5","<5","15","<5","7","N/A"
"2019","SOUTH BEACH","Staten Island","6","32.08","28","7","<5","<5","15","<5","N/A","N/A"
"2019","RICHMOND TERRACE","Staten Island","<5","15","49","7","<5","<5","15","N/A","5","<5"
"2019","POLICE SERVICE AREA SATELLITE/ STATEN ISLAND HOUSING UNIT","Staten Island","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","NEW LANE AREA","Staten Island","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","MARINER'S HARBOR","Staten Island","<5","40.65","60","6","N/A","N/A","N/A","N/A","<5","N/A"
"2019","CASSIDY-LAFAYETTE","Staten Island","<5","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","BERRY","Staten Island","<5","15","15","5","<5","<5","15","<5","<5","N/A"
"2019","WOODSIDE","Queens","8","29.12","28","7","<5","<5","15","<5","N/A","<5"
"2019","SOUTH JAMAICA II","Queens","<5","19.36","12","8","<5","<5","15","N/A","N/A","N/A"
"2019","SOUTH JAMAICA I","Queens","6","20.53","14","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","SHELTON HOUSE","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","REHAB PROGRAM (COLLEGE POINT)","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","REDFERN","Queens","<5","15","14","12","<5","<5","15","<5","N/A","N/A"
"2019","RAVENSWOOD","Queens","8","15","37","30","6","<5","15","<5","6","N/A"
"2019","QUEENSBRIDGE SOUTH","Queens","6","27.4","33","17","<5","<5","15","N/A","N/A","<5"
"2019","QUEENSBRIDGE NORTH","Queens","6","22.66","25","18","<5","<5","15","<5","N/A","N/A"
"2019","POMONOK","Queens","18","24.23","41","14","<5","<5","15","<5","<5","N/A"
"2019","POLICE SERVICE AREA #9 SATELLITE","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","POLICE SERVICE AREA #9","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","OCEAN BAY APARTMENTS (OCEANSIDE)","Queens","<5","28.51","6","<5","<5","<5","15","<5","N/A","N/A"
"2019","OCEAN BAY APARTMENTS (BAYSIDE)","Queens","7","29.33","36","N/A","N/A","N/A","N/A","<5","<5","N/A"
"2019","LEAVITT STREET-34TH AVENUE","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","LATIMER GARDENS","Queens","<5","15","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","INTERNATIONAL TOWER","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","HAMMEL","Queens","6","15","33","6","<5","<5","15","N/A","N/A","N/A"
"2019","FOREST HILLS COOP (108TH STREET-62ND DRIVE)","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","CONLON LIHFE TOWER","Queens","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","CARLETON MANOR","Queens","N/A","N/A","7","<5","<5","N/A","N/A","N/A","N/A","N/A"
"2019","BLAND","Queens","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","BEACH 41ST STREET-BEACH CHANNEL DRIVE","Queens","8","15","20","19","5","5","15","N/A","N/A","N/A"
"2019","BAISLEY PARK","Queens","<5","15","N/A","8","<5","<5","15","N/A","N/A","N/A"
"2019","ASTORIA","Queens","13","20.02","33","9","<5","<5","15","<5","N/A","N/A"
"2019","NON DEVELOPMENT FACILITY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WSUR (SITE C) 589 AMSTERDAM AVENUE","Manhattan","N/A","N/A","6","<5","N/A","<5","15","N/A","N/A","<5"
"2019","WSUR (SITE B) 74 WEST 92ND STREET","Manhattan","<5","15","<5","<5","<5","<5","15","N/A","N/A","<5"
"2019","WSUR (SITE A) 120 WEST 94TH STREET","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WSUR (BROWNSTONES)","Manhattan","<5","15","7","<5","<5","<5","15","N/A","N/A","N/A"
"2019","WISE TOWERS","Manhattan","<5","15","7","<5",,"N/A","N/A","N/A","N/A","N/A"
"2019","WILSON","Manhattan","<5","15","8","8","<5","N/A","N/A","<5","N/A","N/A"
"2019","WHITE","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WASHINGTON HEIGHTS REHAB PHASE IV (D)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WASHINGTON HEIGHTS REHAB PHASE IV (C)","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WASHINGTON HEIGHTS REHAB PHASE III","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WASHINGTON HEIGHTS REHAB (GROUPS 1&2)","Manhattan","N/A","N/A","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WASHINGTON","Manhattan","10","15.09","55","18","<5","5","15","<5","N/A","<5"
"2019","WALD","Manhattan","8","20.78","37","14","<5","<5","15","<5","6","N/A"
"2019","WAGNER","Manhattan","9","15","84","16","<5","<5","15","7","<5","<5"
"2019","VLADECK II","Manhattan","<5","15","11","<5","N/A","N/A","N/A","N/A","N/A","<5"
"2019","VLADECK","Manhattan","<5","15.5","25","11","<5","<5","15","N/A","<5","N/A"
"2019","UPACA (SITE 6)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","UPACA (SITE 5)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","TWO BRIDGES URA (SITE 7)","Manhattan","<5","15","5","<5","<5","<5","15","N/A","<5","N/A"
"2019","THOMAS APARTMENTS","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","TAFT","Manhattan","9","27.12","59","9","<5","<5","15","<5","<5","<5"
"2019","STRAUS","Manhattan","N/A","N/A","<5","<5","N/A","N/A","N/A","<5","N/A","<5"
"2019","STANTON STREET","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","SMITH","Manhattan","15","32.34","29","14","6","5","23.83","<5","<5","N/A"
"2019","SEWARD PARK EXTENSION","Manhattan","<5","15","7","8","<5","<5","15","N/A","<5","<5"
"2019","SAMUEL (MHOP) III","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","SAMUEL (MHOP) II","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","SAMUEL (MHOP) I","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","SAMUEL (CITY)","Manhattan","6","27.01","11","<5","<5","<5","42.65","N/A","<5","<5"
"2019","SAINT NICHOLAS","Manhattan","11","23.23","41","18","<5","<5","15","<5","N/A","<5"
"2019","RUTGERS","Manhattan","<5","15","37","7","<5","N/A","N/A","N/A","N/A","N/A"
"2019","ROBINSON","Manhattan","<5","15","12","<5","<5","<5","15","N/A","<5","N/A"
"2019","ROBBINS PLAZA","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","RIIS II","Manhattan","<5","15","9","<5","<5","<5","15","N/A","<5","N/A"
"2019","RIIS","Manhattan","10","26.84","25","15","<5","<5","15","N/A","<5","<5"
"2019","REHAB PROGRAM (WISE REHAB)","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","REHAB PROGRAM (TAFT REHABS)","Manhattan","<5","20","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","REHAB PROGRAM (DOUGLASS REHABS)","Manhattan","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","RANGEL","Manhattan","<5","16.17","39","14","<5","<5","15","<5","N/A","<5"
"2019","RANDOLPH SOUTH","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","PUBLIC SCHOOL 139 (CONVERSION)","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","POLO GROUNDS TOWERS","Manhattan","9","16","52","29","8","7","15","<5","N/A","<5"
"2019","POLICE SERVICE AREA #6","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","POLICE SERVICE AREA #5","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","POLICE SERVICE AREA #4","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","PARK AVENUE-EAST 122ND, 123RD STREETS","Manhattan","N/A","N/A","8","<5","<5","N/A","N/A","N/A","N/A","N/A"
"2019","MORRIS PARK SENIOR CITIZENS HOME","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","METRO NORTH PLAZA","Manhattan","N/A","N/A","5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","MELTZER TOWER","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","MARSHALL PLAZA","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","MANHATTANVILLE REHAB (GROUP 3)","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","MANHATTANVILLE REHAB (GROUP 2)","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","MANHATTANVILLE","Manhattan","6","21.25","30","12","<5","<5","15","<5","N/A","N/A"
"2019","LOWER EAST SIDE REHAB (GROUP 5)","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","LOWER EAST SIDE III","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","LOWER EAST SIDE II","Manhattan","N/A","N/A","<5","<5","<5","<5","15","N/A","N/A","N/A"
"2019","LOWER EAST SIDE I INFILL","Manhattan","N/A","N/A","7","N/A","N/A","N/A","N/A","<5","N/A","N/A"
"2019","LINCOLN","Manhattan","10","15","39","25","5","5","15","<5","10","<5"
"2019","LEXINGTON","Manhattan","<5","27.72","23","<5","N/A","N/A","N/A","<5","N/A","<5"
"2019","LEHMAN VILLAGE","Manhattan","<5","15","28","5","<5","<5","15","N/A","<5","N/A"
"2019","LAVANBURG HOMES","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","LA GUARDIA ADDITION","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","LA GUARDIA","Manhattan","6","28.66","32","8","<5","<5","15","<5","<5","<5"
"2019","KING TOWERS","Manhattan","10","15.09","50","13","5","<5","15","<5","<5","<5"
"2019","JOHNSON","Manhattan","5","35.56","44","7","<5","<5","18","<5","<5","N/A"
"2019","JEFFERSON","Manhattan","12","22.19","32","11","<5","<5","15","<5","<5","<5"
"2019","ISAACS","Manhattan","<5","26.7","37","8","<5","<5","15","<5","<5","<5"
"2019","HOLMES TOWERS","Manhattan","<5","15","6","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","HERNANDEZ","Manhattan","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","HARLEM RIVER II","Manhattan","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","<5","N/A"
"2019","HARLEM RIVER","Manhattan","6","15","14","12","<5","<5","15","<5","N/A","<5"
"2019","HARBORVIEW TERRACE","Manhattan","<5","37.98","5","<5","N/A","N/A","N/A","<5","N/A","N/A"
"2019","GRANT","Manhattan","7","14.46","43","14","5","<5","15","<5","<5","N/A"
"2019","GRAMPION","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","GOMPERS","Manhattan","N/A","N/A","<5","<5","<5","<5","15","N/A","N/A","N/A"
"2019","FULTON","Manhattan","<5","15","13","10","<5","<5","15","N/A","N/A","N/A"
"2019","FORT WASHINGTON AVENUE REHAB","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","FIRST HOUSES","Manhattan","<5","15","<5","<5","<5","<5","15","N/A","N/A","N/A"
"2019","ELLIOTT","Manhattan","<5","15","14","<5","N/A","N/A","N/A","<5","<5","N/A"
"2019","EAST RIVER","Manhattan","9","16.43","22","9","6","6","15","<5","<5","N/A"
"2019","DYCKMAN","Manhattan","6","29.47","12","10","<5","<5","15","N/A","<5","N/A"
"2019","DREW-HAMILTON","Manhattan","6","17.82","34","12","<5","<5","N/A","<5","N/A","<5"
"2019","DOUGLASS II","Manhattan","<5","15","21","<5","<5","<5","15","N/A","<5","N/A"
"2019","DOUGLASS I","Manhattan","7","19.06","36","15","<5","<5","15","<5","<5","N/A"
"2019","DOUGLASS ADDITION","Manhattan","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","DE HOSTOS APARTMENTS","Manhattan","<5","15","<5","<5","<5","<5","N/A","N/A","N/A","N/A"
"2019","CORSI HOUSES","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","CLINTON","Manhattan","<5","22.5","22","7","<5","<5","15","N/A","<5","N/A"
"2019","CHELSEA ADDITION","Manhattan","<5","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","CHELSEA","Manhattan","<5","19.95","12","6","N/A","N/A","N/A","N/A","N/A","<5"
"2019","CARVER","Manhattan","7","23.94","36","19","<5","<5","15","<5","<5","<5"
"2019","CAMPOS PLAZA II","Manhattan","N/A","N/A","7","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","BRACETTI PLAZA","Manhattan","<5","15","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A"
"2019","BETHUNE GARDENS","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","BARUCH HOUSES ADDITION","Manhattan","9","21.47","20","N/A","N/A","N/A","N/A","<5","N/A","<5"
"2019","BARUCH","Manhattan","<5","21.46","9","18","<5","<5","21","N/A","N/A","N/A"
"2019","AUDUBON","Manhattan","<5","15","8","<5","<5","<5","15","N/A","N/A","N/A"
"2019","AMSTERDAM ADDITION","Manhattan","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","AMSTERDAM","Manhattan","18","23.18","32","6","<5","<5","15","<5","N/A","N/A"
"2019","830 AMSTERDAM AVENUE","Manhattan","N/A","N/A","5","N/A","N/A","N/A","N/A","N/A","N/A","<5"
"2019","45 ALLEN STREET","Manhattan","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","344 EAST 28TH STREET","Manhattan","<5","15","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","335 EAST 111TH STREET","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","154 WEST 84TH STREET","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","131 SAINT NICHOLAS AVENUE","Manhattan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WYCKOFF GARDENS","Brooklyn","6","20.25","41","9","<5","<5","15","<5","<5","N/A"
"2019","WOODSON","Brooklyn","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WILLIAMSBURG","Brooklyn","N/A","N/A","41","10","N/A","N/A","N/A","<5","N/A","N/A"
"2019","WILLIAMS PLAZA","Brooklyn","<5","15","12","<5","<5","<5","15","N/A","N/A","<5"
"2019","WHITMAN","Brooklyn","14","33.93","64","40","5","5","21.91","<5","N/A","<5"
"2019","1010 EAST 178TH STREET","Bronx","<5","27.14","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","WEEKSVILLE GARDENS","Brooklyn","7","15","5","6","6","6","15","<5","N/A","N/A"
"2019","VANDALIA AVENUE","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","VAN DYKE II","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","VAN DYKE I","Brooklyn","22","18.16","84","36","11","8","15","23","N/A","N/A"
"2019","UNITY PLAZA (SITES 4-27)","Brooklyn","N/A","N/A","14","7","N/A","N/A","N/A","<5","<5","N/A"
"2019","UNITY PLAZA (SITES 17,24,25A)","Brooklyn","5","16.5","<5","<5","<5","<5","15","N/A","N/A","N/A"
"2019","TOMPKINS","Brooklyn","13","22.11","37","26","6","6","19.41","<5","<5","<5"
"2019","TILDEN","Brooklyn","<5","20","38","30","<5","N/A","N/A","N/A","N/A","<5"
"2019","TAYLOR STREET-WYTHE AVENUE","Brooklyn","<5","15","7","6","N/A","N/A","N/A","N/A","<5","N/A"
"2019","TAPSCOTT STREET REHAB","Brooklyn","N/A","N/A","<5","<5","<5","N/A","N/A","N/A","N/A","N/A"
"2019","SUTTER AVENUE-UNION STREET","Brooklyn","<5","15","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","SURFSIDE GARDENS","Brooklyn","<5","15","7","<5","<5","<5","15","N/A","N/A","<5"
"2019","SUMNER","Brooklyn","5","15","19","16","<5","<5","15","N/A","N/A","N/A"
"2019","STUYVESANT GARDENS II","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","STUYVESANT GARDENS I","Brooklyn","<5","16.65","12","19","5","<5","15","N/A","N/A","<5"
"2019","STERLING PLACE REHABS (STERLING-BUFFALO)","Brooklyn","N/A","N/A","7","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","STERLING PLACE REHABS (SAINT JOHNS-STERLING)","Brooklyn","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","SHEEPSHEAD BAY","Brooklyn","11","31.89","45","26","<5","<5","15","N/A","N/A","N/A"
"2019","SARATOGA VILLAGE","Brooklyn","<5","15","10","<5","<5","<5","15","N/A","N/A","N/A"
"2019","RUTLAND TOWERS","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","ROOSEVELT II","Brooklyn","<5","15","9","<5","<5","<5","15","N/A","N/A","<5"
"2019","ROOSEVELT I","Brooklyn","<5","18.44","25","14","<5","<5","15","N/A","N/A","N/A"
"2019","REID APARTMENTS","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","RED HOOK WEST","Brooklyn","10","15.26","29","19","<5","<5","15","<5","<5","<5"
"2019","RED HOOK EAST","Brooklyn","12","17.96","45","16","<5","<5","15","<5","N/A","N/A"
"2019","RALPH AVENUE REHAB","Brooklyn","<5","15","<5","<5","<5","<5","15","<5","N/A","N/A"
"2019","PROSPECT PLAZA II","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","PROSPECT PLAZA I","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","POLICE SERVICE AREA #3 SATELLITE","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","POLICE SERVICE AREA #3","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","POLICE SERVICE AREA #1 SATELLITE","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","PINK","Brooklyn","14","18.67","35","53","10","8","15","<5","N/A","N/A"
"2019","PENNSYLVANIA AVENUE-WORTMAN AVENUE","Brooklyn","9","17.18","29","<5","N/A","N/A","N/A","<5","N/A","N/A"
"2019","PARK ROCK REHAB","Brooklyn","<5","15","6","<5","<5","<5","15","N/A","N/A","N/A"
"2019","PALMETTO GARDENS","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","O'DWYER GARDENS","Brooklyn","6","34.97","11","<5","<5","<5","15","N/A","<5","N/A"
"2019","OCEAN HILL-BROWNSVILLE","Brooklyn","<5","15","5","5","<5","<5","15","N/A","N/A","N/A"
"2019","OCEAN HILL APARTMENTS","Brooklyn","<5","15","8","8","<5","<5","15","N/A","N/A","N/A"
"2019","NOSTRAND","Brooklyn","<5","15","30","12","<5","<5","15","<5","<5","<5"
"2019","MARLBORO","Brooklyn","13","15.05","48","21","6","<5","15","5","N/A","<5"
"2019","MARCY AVENUE-GREENE AVENUE SITE B","Brooklyn","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","MARCY AVENUE-GREENE AVENUE SITE A","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","MARCY","Brooklyn","16","20.38","45","19","8","<5","15","<5","<5","N/A"
"2019","LOW HOUSES","Brooklyn","7","15","15","19","<5","<5","15","<5","N/A","N/A"
"2019","LONG ISLAND BAPTIST HOUSES","Brooklyn","<5","20.82","7","6","<5","<5","15","<5","<5","N/A"
"2019","LINDEN","Brooklyn","12","20.56","61","44","10","9","15","<5","<5","N/A"
"2019","LENOX ROAD-ROCKAWAY PARKWAY","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","LAFAYETTE","Brooklyn","16","22.86","46","41","8","7","15","<5","<5","N/A"
"2019","KINGSBOROUGH EXTENSION","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","KINGSBOROUGH","Brooklyn","21","24.1","37","37","9","8","15","<5","N/A","N/A"
"2019","INGERSOLL","Brooklyn","21","22.48","81","44","15","16","16.55","<5","<5","N/A"
"2019","INDEPENDENCE","Brooklyn","<5","15","17","8","N/A","N/A","N/A","<5","<5","<5"
"2019","HYLAN","Brooklyn","<5","15","<5","11","<5","<5","N/A","N/A","N/A","N/A"
"2019","HUGHES APARTMENTS","Brooklyn","8","33.11","13","15","<5","<5","15","<5","N/A","N/A"
"2019","HOWARD AVENUE-PARK PLACE","Brooklyn","N/A","N/A","26","10","<5","N/A","N/A","<5","N/A","N/A"
"2019","HOWARD AVENUE","Brooklyn","N/A","N/A","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","HOWARD","Brooklyn","9","15","32","32","6","7","15","<5","N/A","N/A"
"2019","HOPE GARDENS","Brooklyn","N/A","N/A","<5","N/A","N/A","N/A","N/A","<5","N/A","N/A"
"2019","HABER","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","GRAVESEND","Brooklyn","7","24.43","36","12","<5","<5","15","<5","N/A","N/A"
"2019","GOWANUS","Brooklyn","7","21.9","33","12","<5","<5","15","<5","N/A","N/A"
"2019","GLENWOOD","Brooklyn","11","28.66","42","19","<5","<5","15","<5","N/A","<5"
"2019","GLENMORE PLAZA","Brooklyn","<5","15","19","12","<5","<5","15","<5","<5","N/A"
"2019","GARVEY (GROUP A)","Brooklyn","6","15","14","9","7","<5","15","<5","N/A","N/A"
"2019","FIORENTINO PLAZA","Brooklyn","N/A","N/A","7","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","FENIMORE-LEFFERTS","Brooklyn","<5","38.4","<5","<5","N/A","N/A","N/A","<5","N/A","N/A"
"2019","FARRAGUT","Brooklyn","10","23.17","43","24","<5","<5","15","<5","N/A","<5"
"2019","EAST NEW YORK CITY LINE","Brooklyn","<5","15","5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","CYPRESS HILLS","Brooklyn","7","17.5","33","31","<5","<5","15","<5","N/A","N/A"
"2019","CROWN HEIGHTS","Brooklyn","<5","40.65","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","COOPER PARK","Brooklyn","19","28.93","14","19","<5","<5","15","N/A","N/A","N/A"
"2019","CONEY ISLAND I (SITES 4 & 5)","Brooklyn","6","24.1","11","8","<5","<5","15","N/A","N/A","N/A"
"2019","CONEY ISLAND I (SITE 8)","Brooklyn","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","CONEY ISLAND I (SITE 1B)","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","CONEY ISLAND","Brooklyn","9","19.57","11","7","<5","<5","15","N/A","N/A","N/A"
"2019","CAREY GARDENS","Brooklyn","10","24","20","22","<5","<5","15","<5","N/A","<5"
"2019","BUSHWICK II CDA (GROUP E)","Brooklyn","<5","32.1","6","<5","<5","<5","15","<5","N/A","N/A"
"2019","BUSHWICK II (GROUPS B & D)","Brooklyn","<5","35.98","9","N/A","N/A","N/A","N/A","<5","N/A","N/A"
"2019","BUSHWICK II (GROUPS A & C)","Brooklyn","5","39.15","9","N/A","N/A","N/A","N/A","<5","N/A","N/A"
"2019","BUSHWICK","Brooklyn","16","22.37","62","16","6","6","15.37","10","N/A","<5"
"2019","BROWNSVILLE","Brooklyn","10","14.85","59","41","<5","<5","15","5","N/A","<5"
"2019","BROWN","Brooklyn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","BREVOORT","Brooklyn","6","18.5","30","27","5","<5","15","<5","N/A","N/A"
"2019","BREUKELEN","Brooklyn","17","17.9","68","32","5","5","15","<5","<5","N/A"
"2019","BOULEVARD","Brooklyn","12","15.86","93","25","7","<5","15","<5","<5","<5"
"2019","BORINQUEN PLAZA II","Brooklyn","<5","15","11","5","N/A","N/A","N/A","<5","N/A","N/A"
"2019","BORINQUEN PLAZA I","Brooklyn","<5","15","15","5","<5","<5","15","N/A","N/A","<5"
"2019","BERRY STREET-SOUTH 9TH STREET","Brooklyn","N/A","N/A","8","N/A","N/A","N/A","N/A","<5","N/A","N/A"
"2019","BELMONT-SUTTER AREA","Brooklyn","N/A","N/A","<5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","BEDFORD-STUYVESANT REHAB","Brooklyn","N/A","N/A","5","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","BAY VIEW","Brooklyn","22","19.95","78","64","10","8","15","5","<5","<5"
