"Year","NYCHA Development","Borough","Total number of resident job placements","Average wage of such residents","Total number of resident connections to services","Total number of residents that applied for the NYCHA Resident Training Academy","Total number of residents that were accepted and enrolled","Total number residents placed into full-time or part-time jobs","Average Wage of such residents","Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program","Total number of residents enrolled in vocational training programs through the program","Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program"
"2024","HOWARD",,"9","$17.71","30","18","< 5","< 5","$17.31","< 5","6","N/A"
"2024","HOPE GARDENS",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","HOLMES TOWERS",,"< 5","$17.11","8","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","HOE AVENUE-EAST 173RD STREET",,"N/A","N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","HIGHBRIDGE REHABS (NELSON AVENUE)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","HIGHBRIDGE REHABS (ANDERSON AVENUE)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","HIGHBRIDGE GARDENS",,"< 5","$22.46","17","< 5","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","HERNANDEZ",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","HARRISON AVENUE REHAB (GROUP B)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","HARRISON AVENUE REHAB (GROUP A)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","HARLEM RIVER II",,"N/A","N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","HARLEM RIVER",,"< 5","$72.00","< 5","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","HARBORVIEW TERRACE",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","HAMMEL",,"10","$20.52","21","9","< 5","< 5","$17.31","< 5","6","N/A"
"2024","HABER",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","GUN HILL",,"8","$25.07","19","6","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","GRAVESEND",,"9","$23.22","25","12","5","< 5","$17.31","< 5","< 5","N/A"
"2024","GRANT",,"6","$25.22","29","11","< 5","< 5","$17.31","< 5","17","N/A"
"2024","GRAMPION",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","GOWANUS",,"13","$26.78","37","14","< 5","< 5","$18.09","< 5","11","N/A"
"2024","GOMPERS",,"< 5","$26.05","15","8","N/A","N/A","N/A","N/A","< 5","< 5"
"2024","GLENWOOD",,"5","$22.13","44","16","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","GLENMORE PLAZA",,"5","$28.05","7","5","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","GLEBE AVENUE-WESTCHESTER AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","GARVEY (GROUP A)",,"< 5","$19.75","17","11","< 5","< 5","$17.31","< 5","N/A","N/A"
"2024","FULTON",,"< 5","$17.31","19","N/A","< 5","N/A","N/A","< 5","< 5","N/A"
"2024","FRANKLIN AVENUE III CONVENTIONAL",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FRANKLIN AVENUE II CONVENTIONAL",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FRANKLIN AVENUE I CONVENTIONAL",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FORT WASHINGTON AVENUE REHAB",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FORT INDEPENDENCE STREET-HEATH AVENUE",,"< 5","$27.36","9","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","FOREST",,"< 5","$17.31","26","6","< 5","< 5","$18.35","N/A","< 5","N/A"
"2024","FIRST HOUSES",,"N/A","N/A","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FIORENTINO PLAZA",,"< 5","$18.11","< 5","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","FHA REPOSSESSED HOUSES (GROUP X)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FHA REPOSSESSED HOUSES (GROUP VIII)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
