year,nycha_development,borough,total_number_of_resident_job_placements,average_wage_of_such_residents,total_number_of_resident_connections_to_services,total_number_of_residents_that_applied_for_the_nycha_resident_training_academy,total_number_of_residents_that_were_accepted_and_enrolled,total_number_residents_placed_into_full-time_or_part-time_jobs,number_of_residents_that_enrolled_in_financial_counseling_services/workshops_through_the_rees_zone_partner_program,total_number_of_residents_enrolled_in_vocational_training_programs_through_the_program,total_number_of_residents_enrolled_in_prep_courses_for_english_as_a_second_language_(esol)_or_the_test_assessing_secondary_completion_(tasc)_through_the_program,service_connections
2024.0,O'DWYER GARDENS,Unknown,7.0,17.11,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2024.0,OCEAN HILL-BROWNSVILLE,Unknown,0.0,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,OCEAN HILL APARTMENTS,Unknown,0.0,18.44,8.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0
2024.0,OCEAN BAY APARTMENTS (OCEANSIDE),Unknown,0.0,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,OCEAN BAY APARTMENTS (BAYSIDE),Unknown,0.0,32.41,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2024.0,NOSTRAND,Unknown,5.0,17.31,51.0,10.0,0.0,0.0,0.0,0.0,0.0,51.0
2024.0,NEW LANE AREA,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,MURPHY,Unknown,0.0,17.31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2024.0,MOTT HAVEN,Unknown,12.0,21.1,25.0,11.0,0.0,0.0,0.0,0.0,0.0,25.0
2024.0,MORRISANIA AIR RIGHTS,Unknown,5.0,24.33,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2024.0,MORRISANIA,Unknown,0.0,41.45,11.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0
2024.0,MORRIS PARK SENIOR CITIZENS HOME,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,MORRIS II,Unknown,0.0,22.67,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2024.0,MORRIS I,Unknown,6.0,26.38,36.0,12.0,0.0,0.0,0.0,8.0,0.0,36.0
